**Supported operators for device: XLA_CPU_JIT**

Operator | Type Constraint
-------- | ---------------
`Abs` | `T={bfloat16,double,float,half,int16,int32,int64,int8}`
`Acos` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Acosh` | `T={bfloat16,complex128,complex64,double,float,half}`
`Add` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint8}`
`AddN` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8,variant}`
`AddV2` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`AdjustContrastv2` | `T={float,half}`
`AdjustHue` | `T={float,half}`
`AdjustSaturation` | `T={float,half}`
`All` | `Tidx={int32,int64}`
`Angle` | `Tout={double,float}`<br>`T={complex128,complex64}`
`Any` | `Tidx={int32,int64}`
`ApproximateEqual` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ArgMax` | `output_type={int32,int64}`<br>`Tidx={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ArgMin` | `output_type={int32,int64}`<br>`Tidx={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Asin` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Asinh` | `T={bfloat16,complex128,complex64,double,float,half}`
`AssignAddVariableOp` | `dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`AssignSubVariableOp` | `dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`AssignVariableOp` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Atan` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Atan2` | `T={bfloat16,double,float,half}`
`Atanh` | `T={bfloat16,complex128,complex64,double,float,half}`
`AvgPool` | `T={bfloat16,double,float,half}`
`AvgPool3D` | `T={bfloat16,double,float,half}`
`AvgPool3DGrad` | `T={bfloat16,double,float,half}`
`AvgPoolGrad` | `T={bfloat16,double,float,half}`
`BatchMatMul` | `T={bfloat16,complex128,complex64,double,float,half,int32,int64}`
`BatchMatMulV2` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64}`
`BatchMatMulV3` | `Tout={bfloat16,complex128,complex64,double,float,half,int16,int32,int64}`<br>`Tb={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint8}`<br>`Ta={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint8}`
`BatchToSpace` | `Tidx={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`BatchToSpaceND` | `Tcrops={int32,int64}`<br>`Tblock_shape={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`BesselI0e` | `T={bfloat16,double,float,half}`
`BesselI1e` | `T={bfloat16,double,float,half}`
`Betainc` | `T={double,float}`
`BiasAdd` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`BiasAddGrad` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`BiasAddV1` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Bitcast` | `type={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`BitwiseAnd` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`BitwiseOr` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`BitwiseXor` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`BroadcastArgs` | `T={int32,int64}`
`BroadcastGradientArgs` | `T={int32,int64}`
`BroadcastTo` | `Tidx={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Bucketize` | `T={double,float,int32,int64}`
`Case` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`Cast` | `DstT={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`<br>`SrcT={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Ceil` | `T={bfloat16,double,float,half}`
`Cholesky` | `T={double,float,half}`
`ClipByValue` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`CollectiveReduceV2` | `T={bfloat16,double,float,half,int32,int64}`
`Complex` | `Tout={complex128,complex64}`<br>`T={double,float}`
`ComplexAbs` | `Tout={double,float}`<br>`T={complex128,complex64}`
`Concat` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ConcatOffset` | 
`ConcatV2` | `Tidx={int32}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Conj` | `T={complex128,complex64}`
`ConjugateTranspose` | `Tperm={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Const` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,string,uint16,uint32,uint64,uint8}`
`ControlTrigger` | 
`Conv2D` | `T={bfloat16,double,float,half}`
`Conv2DBackpropFilter` | `T={bfloat16,double,float,half}`
`Conv2DBackpropInput` | `T={bfloat16,double,float,half}`
`Conv3D` | `T={bfloat16,double,float,half}`
`Conv3DBackpropFilterV2` | `T={bfloat16,double,float,half}`
`Conv3DBackpropInputV2` | `Tshape={int32,int64}`<br>`T={bfloat16,double,float,half}`
`Cos` | `T={bfloat16,complex128,complex64,double,float,half}`
`Cosh` | `T={bfloat16,complex128,complex64,double,float,half}`
`Cross` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Cumprod` | `Tidx={int32,int64}`<br>`T={bfloat16,double,float,half,int32,int64}`
`Cumsum` | `Tidx={int32,int64}`<br>`T={bfloat16,double,float,half,int32,int64}`
`DataFormatDimMap` | `T={int32,int64}`
`DataFormatVecPermute` | `T={int32,int64}`
`DataFormatVecPermute` | `T={int32,int64}`
`DepthToSpace` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`DepthwiseConv2dNative` | `T={bfloat16,double,float,half}`
`DepthwiseConv2dNativeBackpropFilter` | `T={bfloat16,double,float,half}`
`DepthwiseConv2dNativeBackpropInput` | `T={bfloat16,double,float,half}`
`Dequantize` | `dtype={bfloat16,float}`<br>`T={qint8,quint8}`
`DeviceIndex` | 
`Diag` | `T={bfloat16,complex128,complex64,double,float,half,int32,int64}`
`DiagPart` | `T={bfloat16,complex128,complex64,double,float,half,int32,int64}`
`Digamma` | `T={bfloat16,double,float,half}`
`Div` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`DivNoNan` | `T={bfloat16,complex128,complex64,double,float,half}`
`DynamicPartition` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`DynamicStitch` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Einsum` | `T={bfloat16,complex128,complex64,double,float,half,int32,int64,uint64}`
`Elu` | `T={bfloat16,double,float,half}`
`EluGrad` | `T={bfloat16,double,float,half}`
`Empty` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`EmptyTensorList` | `shape_type={int32,int64,variant}`<br>`element_dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8,variant}`
`EnsureShape` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Equal` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Erf` | `T={bfloat16,double,float,half}`
`Erfc` | `T={bfloat16,double,float,half}`
`Erfinv` | `T={bfloat16,double,float,half}`
`Exp` | `T={bfloat16,complex128,complex64,double,float,half}`
